propertyCode,thumbnail,externalReference,numPhotos,floor,price,priceInfo,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,distance,description,hasVideo,status,newDevelopment,hasLift,priceByArea,detailedType,suggestedTexts,hasPlan,has3DTour,has360,hasStaging,topNewDevelopment,topPlus,parkingSpace,neighborhood,highlight,newDevelopmentFinished
105230998,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/1f/8a/9e/1245912389.webp,,27,1,675.0,"{'price': {'amount': 675.0, 'currencySuffix': '€/mes', 'priceDropInfo': {'formerPrice': 750.0, 'priceDropValue': 75, 'priceDropPercentage': 10}}}",flat,rent,89.0,True,3,1,plaza sant andreu,Barcelona,Puigdàlber,,es,41.404153,1.6996746,False,https://www.idealista.com/inmueble/105230998/,216316,"Piso situado en el minicipio de Puigdàlber, a 59 kilómetros de Barcelona y 10 minutos de Vilafranca del Penedès. Zona tranquila y de ambiente familiar. La finca consta de:  - 2 habitaciones dobles, exteriores - 1 habitación individual con salida a patio - Cuarto de baño con ducha - Cocina independiente y con salida a terraza - Tanto la cocina como el baño están para estrenar - Piso totalmente pintado - Calefacción por radiadores eléctricos. - Suministros de luz y agua, corriente de pago - Finca con pocos vecinos - NO se admiten mascotas. Precio del Alquiler: 675,00€ (Tasa de Recogida de Residuos incluida en el precio) AIXOPLUC GESTIÓ IMMOBILIÀRIA S. L. AICAT 11241 WhatsApp.",False,good,False,False,8.0,{'typology': 'flat'},"{'subtitle': 'Puigdàlber', 'title': 'Piso en plaza sant andreu'}",False,False,False,False,False,False,,,,
105700469,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/cb/7d/9c/1260383170.webp,pis1842,25,2,750.0,"{'price': {'amount': 750.0, 'currencySuffix': '€/mes', 'priceDropInfo': {'formerPrice': 830.0, 'priceDropValue': 80, 'priceDropPercentage': 10}}}",flat,rent,93.0,True,4,2,San Fernando - Ctra. de Valencia,Cuenca,Cuenca,San Fernando - Ctra. de Valencia,es,40.0579587,-2.1307786,False,https://www.idealista.com/inmueble/105700469/,206599,"INMOBILIARIA GAP. Comprometidos con la venta y compra de tu casa Se alquila piso para estudiantes, de cuatro habitaciones amplias, dos baños completos, con terraza en la zona de hermanos becerril, cercano al ahorra mas. Incluye plaza de garaje. Próximo a parada de bus. Calefaccion central individualizada.",False,good,False,True,8.0,{'typology': 'flat'},"{'subtitle': 'San Fernando - Ctra. de Valencia, Cuenca', 'title': 'Piso'}",False,False,False,False,False,False,,,,
104956836,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/72/22/9e/1237340671.webp,,27,6,530.0,"{'price': {'amount': 530.0, 'currencySuffix': '€/mes', 'priceDropInfo': {'formerPrice': 580.0, 'priceDropValue': 50, 'priceDropPercentage': 9}}}",flat,rent,85.0,True,2,2,paseo Marítimo,Castellón,Alcossebre,,es,40.2551689,0.2871927,False,https://www.idealista.com/inmueble/104956836/,183911,"SE ALQUILA SÓLO DEL 1 DE SEPTIEMBRE DE 2024 AL 30 DE JUNIO DE 2025 ¡Acogedor apartamento situado en el corazón de Las Fuentes, a menos de 1' de la playa, y a un paseo del puerto deportivo y del faro.  La vivienda se integra: 2 habitaciones (una doble y otra simple), 2 baños completos, cocina equipada, salón-comedor con acceso a la amplia terraza desde la que desayunar con vistas al mar! Dispone de A/C y piscina comunitaria. ¡Contactad sin compromiso!",False,good,False,True,6.0,{'typology': 'flat'},"{'subtitle': 'Alcossebre', 'title': 'Piso en paseo Marítimo'}",False,False,False,False,False,False,,,,
102851733,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/4c/13/e8/1169471872.webp,66857,11,,500.0,"{'price': {'amount': 500.0, 'currencySuffix': '€/mes', 'priceDropInfo': {'formerPrice': 550.0, 'priceDropValue': 50, 'priceDropPercentage': 9}}}",flat,rent,42.0,,2,1,Partida Solaes,Castellón,Benicarló,Zona Papa Luna,es,40.4058305,0.4233507,False,https://www.idealista.com/inmueble/102851733/,176705,"REFERENCIA: 66857 Este luminoso apartamento de dos habitaciones en Benicarlo le permite disfrutar del agradable clima mediterraneo desde OCTUBRE de 2024 hasta fin de MAYO de 2025.  Posee: 2 habitaciones, 1 baño, salon comedor, cocina americana, terraza, piscina comunitaria. Aire acondicionado friocalor Se encuentra a tan solo 200m de la playa.  El precio no incluye luz y agua, así como los honorarios de agencia, que se pagan aparte. Consulta las condiciones de alquiler con la agencia.",False,good,False,False,12.0,{'typology': 'flat'},"{'subtitle': 'Zona Papa Luna, Benicarló', 'title': 'Piso en Partida Solaes'}",False,False,False,False,False,False,,,,
105684778,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/37/bf/27/1259911831.webp,P-99,5,4,500.0,"{'price': {'amount': 500.0, 'currencySuffix': '€/mes', 'priceDropInfo': {'formerPrice': 550.0, 'priceDropValue': 50, 'priceDropPercentage': 9}}}",studio,rent,70.0,True,0,1,calle de Francisco Aritio,Guadalajara,Guadalajara,Estación-Manantiales,es,40.6210367,-3.2041799,False,https://www.idealista.com/inmueble/105684778/,226283,"Bonito Loft de 2 dormitorios Acogedor Loft-Oficina acondicionado como piso, equipado con cocina. El loft cuenta con dos amplios dormitorios y un espaciosos salón comedor con cocina integrada, con una altura superior a 3 metros, lo que crea un ambiente acogedor. Dispone de agua caliente por termo eléctrico. La finca donde se encuentra el inmueble cuenta con ascensor. Al precio de alquiler, hay que añadirle el IVA al 21 %, siendo la renta total de 605.00€ Encuentre más en grupobma. es.",False,good,False,False,7.0,"{'typology': 'flat', 'subTypology': 'studio'}","{'subtitle': 'Estación-Manantiales, Guadalajara', 'title': 'Estudio en calle de Francisco Aritio'}",False,False,False,False,False,False,,,,
98560384,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/2b/8c/26/1266098701.webp,RS3033,7,st,690.0,"{'price': {'amount': 690.0, 'currencySuffix': '€/mes', 'priceDropInfo': {'formerPrice': 750.0, 'priceDropValue': 60, 'priceDropPercentage': 8}}}",studio,rent,32.0,True,0,1,calle de Sigüenza,Barcelona,Barcelona,Horta Guinardó,es,41.4223899,2.155448,False,https://www.idealista.com/inmueble/98560384/,253725,"REF RS3033 ESTUDIO SOTANO DE ALQUILER EN EL CARMEL - Este estudio cuenta de un espacio amplio con cocina integrada semiamueblado con electrodomésticos. Ideal para ponerlo a tu gusto, cuenta con un baño completo con plato de ducha, orientación sur, con ventilación al exterior. El estudio cuenta con aire acondicionado y calefacción eléctrica,  - Ubicado en en barrio del Carmel, que pertenece el distrito de Horta-Guinardó, el cual está a lo largo del norte de la colina que tiene el nombre de Carmel, siendo un área llena de áreas verdes como el Parc Garrofers, el Parc Vall d' Hebrón, entre otros. Es una zona donde hay bastantes parques, siendo una área de la ciudad que funciona como pulmón de la ciudad. Cuando se conformó la ciudad era un poblado por pequeñas casitas, ahora el barrio está ocupado por edificios más altos, y donde se ha hecho mucha obra nueva. La estructura del barrio se caracteriza por una multitud de pendientes, aunque se ha tratado de solventar las dificultades de acceso instalando escaleras mecánicas en varias calles y reformando un poco el espacio público del barrio. - Comunicado con la línea de metro L5 el Carmel y numerosas líneas de bus, 19, 87, N4, entre otras líneas de metro que hay por la zona.  Para mas información comuníquese con RS Group.",False,good,False,False,22.0,"{'typology': 'flat', 'subTypology': 'studio'}","{'subtitle': 'El Carmel, Barcelona', 'title': 'Estudio en calle de Sigüenza'}",False,False,False,False,False,False,,El Carmel,{'groupDescription': 'Destacado'},
105879757,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/71/95/8b/1265791750.webp,,35,3,600.0,"{'price': {'amount': 600.0, 'currencySuffix': '€/mes', 'priceDropInfo': {'formerPrice': 650.0, 'priceDropValue': 50, 'priceDropPercentage': 8}}}",flat,rent,86.0,True,3,1,"plaza del Santissim Crist de la Jonquera, 9",Castellón,Chilches,,es,39.7823538,-0.1901671,True,https://www.idealista.com/inmueble/105879757/,216232,"¡Gran oportunidad en el corazón de Xilxes! Alquiler temporal y dependiendo de las fechas el precio del alquiler varía. Preguntar disponibilidad.  Este encantador piso amueblado de 3 habitaciones está listo para convertirse en tu nuevo hogar. Situado en la plaza de la estación del tren de cercanías, disfrutarás de una excelente conexión con Valencia y Castellón. La vivienda, ubicada en la tercera planta, cuenta con cómodas y bajitas escaleras, ofreciendo fácil acceso sin necesidad de ascensor. El piso es totalmente exterior, permitiendo que la luz natural inunde cada rincón. Desde el balcón de 6 m², podrás disfrutar de vistas a la plaza con su jardín y árboles, así como a la hermosa zona montañosa de la Valls. El salón-comedor y la cocina equipada están orientados al este, ofreciendo una vista directa al parque de la estación. Las dos habitaciones dobles y la habitación sencilla proporcionan el espacio perfecto para una familia o para quienes necesiten un despacho en casa. El baño, equipado con un calentador eléctrico grande y ducha, garantiza comodidad y eficiencia. Además, estarás cerca de todos los servicios esenciales como el centro médico, el supermercado Consum, colegios y el centro deportivo el Alter. No pierdas esta oportunidad de vivir en un entorno privilegiado con todas las comodidades a tu alcance. ¡Ven a visitarlo y enamórate de tu nuevo hogar en Xilxes!",False,good,False,False,7.0,{'typology': 'flat'},"{'subtitle': 'Chilches', 'title': 'Piso en plaza del Santissim Crist de la Jonquera, 9'}",False,False,False,False,False,False,,,,
105730265,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/15/03/c8/1266076130.webp,440340,26,1,550.0,"{'price': {'amount': 550.0, 'currencySuffix': '€/mes', 'priceDropInfo': {'formerPrice': 600.0, 'priceDropValue': 50, 'priceDropPercentage': 8}}}",flat,rent,86.0,True,2,1,Els Terrers,Castellón,Benicasim/Benicàssim,Els Terrers,es,40.0430886,0.0585596,False,https://www.idealista.com/inmueble/105730265/,195856,"Excelente apartamento en alquiler en Benicàssim fuera de temporada estival (septiembre a junio) que no admite mascotas. Precio 550 euros al mes. Consultar también julio 2025. Se encuentra situado en la zona de Terrers, en una magnífica urbanización con portero, dos plazas de parking, piscina comunitaria de grandes dimensiones con socorristas, jardines, zona de juegos infantiles, pistas deportivas de futbito y basket y barbacoa. El apartamento, a menos de 100 metros del mar y próximo al pueblo y al parque acuático Aquarama, dispone de salón-comedor (equipado con sofá-cama) con terraza, cocina independiente y equipada con galería, dos habitaciones (una con cama de 1,50 cm y otra con literas de 90x190 cm, además de otra cama supletoria y un baño con plato de ducha de acceso a ras de suelo.   Condiciones específicas: INFORMACIÓN NO AVALADA NI GARANTIZADA POR Fincas Castellón. De acuerdo al Código de Consumo, nuestra labor es de intermediación, por lo que la información y actualización que contiene este anuncio informativo, sobre el alquiler del inmueble que identifica, así como su precio, no está garantizada ni avalada por Fincas Castellón, ni vincula a la misma y carece de validez contractual, siendo ésta facilitada por el propietario y por tanto de iniciativa particular y ajeno a esta empresa. Aunque procuramos no cometer errores al cargar los datos en los formularios de esta web, este anuncio podría contenerlos. El precio indicado puede sufrir variación sin previo aviso.",False,good,False,True,6.0,{'typology': 'flat'},"{'subtitle': 'Els Terrers, Benicasim/Benicàssim', 'title': 'Piso'}",False,False,False,False,False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",,,
105233535,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/4d/8e/8b/1245991963.webp,40DG-000031-03,12,2,690.0,"{'price': {'amount': 690.0, 'currencySuffix': '€/mes', 'priceDropInfo': {'formerPrice': 750.0, 'priceDropValue': 60, 'priceDropPercentage': 8}}}",flat,rent,85.0,True,3,1,calle Claudio Moreno,Segovia,Segovia,El Carmen,es,40.9485224,-4.1043238,False,https://www.idealista.com/inmueble/105233535/,280774,"Magnífico piso de 85m2. Dispone de 3 habitaciones, salón independiente, sala de estar, cocina totalmente amueblada y equipada, 1 baño completo, calefacción central, amueblado. Es una vivienda exterior muy luminosa cuenta con 2 terrazas y jardín. Finca con ascensor. AGUA Y CALEFACCIÓN INCLUIDO en el precio de la renta. Zona residencial con todos los servicios. Gastos de comunidad incluidos. no se acepta animales.",False,good,False,True,8.0,{'typology': 'flat'},"{'subtitle': 'El Carmen, Segovia', 'title': 'Piso en calle Claudio Moreno'}",False,False,False,False,False,False,,,,
105771037,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/73/64/f9/1262499774.webp,ZZM55979,28,3,600.0,"{'price': {'amount': 600.0, 'currencySuffix': '€/mes', 'priceDropInfo': {'formerPrice': 650.0, 'priceDropValue': 50, 'priceDropPercentage': 8}}}",flat,rent,57.0,,2,1,calle Benidorm,Castellón,Moncofa,Moncófar playa,es,39.8008351,-0.1322618,False,https://www.idealista.com/inmueble/105771037/,215621,"Acogedora vivienda en en Moncófar completamente amueblada con ASCENSOR, BALCÓN-TERRAZA y PISCINA.  *Contrato de larga estancia (+12 meses)* En Zazume estaremos permanentemente a tu disposición para que tu hogar sea una experiencia inolvidable. ¡Alquila tu casa y dedícate a vivir! Este inmueble consta de: - 2 dormitorios - 1 cuartos de baño completo - salón-comedor grande - cocina equipada - terraza - piscina Las condiciones para alquilar son: 1 mes de fianza, 1 mes de depósito adicional y el mes en curso. *Sí se aceptan mascotas* Disponemos de una amplia cartera de pisos con diferentes características para cubrir todas tus necesidades. ¡Consúltanos sin compromiso y únete a la revolución del alquiler Zazume!",False,good,False,True,11.0,{'typology': 'flat'},"{'subtitle': 'Moncófar playa, Moncofa', 'title': 'Piso en calle Benidorm'}",False,False,False,False,False,False,,,,
